0.3499999, 0.001704331, -0.002321242, 5, 0.007550913, 0.0011439361499651665727162174, 126662.6, -923.6703, -1.452792, 0.000797999, 0.03187544, 482.0825, 0.4333027, 0.3333266, 0.02725356
 
0.3599999, -0.00351409, -0.002304199, 5, 0.007586169, 0.0011450546382250431840907203, 126858, -924.4406, -1.452792, 0.000797999, 0.03187544, 482.5612, 0.4333069, 0.3330898, 0.02727671
 
0.3699999, 0.001043414, -0.00233934, 5, 0.007621504, 0.0011455750973527468437393534, 127055.6, -925.2128, -1.452792, 0.000797999, 0.03187544, 483.0443, 0.433311, 0.332853, 0.02729986
 
0.3799999, -0.002217878, -0.002328906, 5, 0.007657062, 0.0011446481217743911370955164, 127255.4, -925.989, -1.452792, 0.000797999, 0.03187544, 483.5313, 0.4333154, 0.3326163, 0.02732301
 
0.3899999, 0.0004923263, -0.002351084, 5, 0.00769241, 0.0011436908960893386368121470, 127457.3, -926.7679, -1.452792, 0.000797999, 0.03187544, 484.0226, 0.4333198, 0.3323795, 0.02734616
 
0.3999999, -0.001223671, -0.002346161, 5, 0.007728124, 0.0011413087360239978800797869, 127661.3, -927.55, -1.452792, 0.000797999, 0.03187544, 484.5178, 0.4333243, 0.3321428, 0.02736931
 
0.4099999, 4.148553E-05, -0.002358398, 5, 0.007759722, 0.0011393297327586479743837161, 127866.7, -928.3348, -1.452792, 0.000797999, 0.03187544, 485.0158, 0.4333289, 0.331906, 0.02739246
 
0.4199999, -0.0006000321, -0.002357983, 5, 0.007787187, 0.0011362811123362275924065558, 128073.6, -929.1219, -1.452792, 0.000797999, 0.03187544, 485.5166, 0.4333335, 0.3316692, 0.02741561
 
0.4299999, -1.340268E-05, -0.002363983, 5, 0.007814995, 0.0011330834688173965062807821, 128281.9, -929.9114, -1.452792, 0.000797999, 0.03187544, 486.0201, 0.4333381, 0.3314325, 0.02743876
 
0.4399998, -0.000436433, -0.002364117, 5, 0.00784257, 0.0011297337525515266426260861, 128491.6, -930.7034, -1.452792, 0.000797999, 0.03187544, 486.5264, 0.4333428, 0.3311957, 0.02746191
 
0.4499998, -2.812348E-05, -0.002368482, 5, 0.007870198, 0.0011262281248552518779824255, 128702.5, -931.4993, -1.452792, 0.000797999, 0.03187544, 487.0351, 0.4333477, 0.3309589, 0.02748506
 
0.4599998, -7.770168E-05, -0.002368763, 5, 0.007898173, 0.0011219887248947134063183706, 128915, -932.2959, -1.452792, 0.000797999, 0.03187544, 487.5465, 0.4333525, 0.3307222, 0.02750821
 
0.4699998, 2.952742E-05, -0.00236954, 5, 0.00792606, 0.0011175884633666624395169917, 129128.8, -933.095, -1.452792, 0.000797999, 0.03187544, 488.0608, 0.4333573, 0.3304854, 0.02753136
 
0.4799998, -0.0001929612, -0.002369245, 5, 0.007953856, 0.0011135483980372612117655868, 129344.1, -933.8978, -1.452792, 0.000797999, 0.03187544, 488.5777, 0.4333624, 0.3302486, 0.02755451
 
0.4899998, 7.488017E-05, -0.002371174, 5, 0.007981853, 0.0011092992128485730430862503, 129560.9, -934.7017, -1.452792, 0.000797999, 0.03187544, 489.0975, 0.4333673, 0.3300119, 0.02757766
 
0.4999998, -7.541794E-05, -0.002370425, 5, 0.008009906, 0.0011048861121914946186966975, 129779, -935.5095, -1.452792, 0.000797999, 0.03187544, 489.6199, 0.4333724, 0.3297751, 0.02760081
 
0.5099998, 9.078433E-05, -0.00237118, 5, 0.008034639, 0.0011003806824174631700984154, 129998, -936.3183, -1.452792, 0.000797999, 0.03187544, 490.1439, 0.4333774, 0.3295383, 0.02762396
 
0.5199998, -0.00010303, -0.002370272, 5, 0.008056038, 0.0010960444457058398895551216, 130217.9, -937.1302, -1.452792, 0.000797999, 0.03187544, 490.6698, 0.4333825, 0.3293016, 0.02764711
 
0.5299998, 0.000258246, -0.002371302, 5, 0.008077767, 0.0010912053607811561606452829, 130438.6, -937.9445, -1.452792, 0.000797999, 0.03187544, 491.1971, 0.4333878, 0.3290648, 0.02767026
 
0.5399998, -0.0001054424, -0.00236872, 5, 0.008099237, 0.0010865752173491814308954530, 130660.1, -938.7595, -1.452792, 0.000797999, 0.03187544, 491.726, 0.4333929, 0.3288281, 0.02769342
 
0.5499998, 0.0002589987, -0.002369774, 5, 0.008120894, 0.0010817832807199902281175310, 130882.5, -939.5777, -1.452792, 0.000797999, 0.03187544, 492.2565, 0.4333981, 0.3285913, 0.02771657
 
0.5599998, -0.0001229957, -0.002367184, 5, 0.008142441, 0.0010772391691222454073031539, 131105.6, -940.3979, -1.452792, 0.000797999, 0.03187544, 492.7884, 0.4334035, 0.3283545, 0.02773971
 
0.5699998, 0.0002887401, -0.002368414, 5, 0.00816417, 0.0010724499287542370231911934, 131329.6, -941.22, -1.452792, 0.000797999, 0.03187544, 493.3222, 0.4334088, 0.3281178, 0.02776287
 
0.5799997, -4.246129E-06, -0.002365527, 5, 0.008185938, 0.0010675931056108639364933190, 131554.5, -942.0432, -1.452792, 0.000797999, 0.03187544, 493.8575, 0.433414, 0.327881, 0.02778602
 
0.5899997, -0.0002265265, -0.002365569, 5, 0.008207668, 0.0010638996335447770472778656, 131780.1, -942.8697, -1.452792, 0.000797999, 0.03187544, 494.3944, 0.4334194, 0.3276442, 0.02780917
 
0.5999997, 0.0003945388, -0.002367834, 5, 0.008229359, 0.0010591149511928181321841274, 132006.6, -943.698, -1.452792, 0.000797999, 0.03187544, 494.9328, 0.4334249, 0.3274075, 0.02783232
 
0.6099997, -0.000541096, -0.002363889, 5, 0.008251313, 0.0010554477562063769062782445, 132234, -944.5286, -1.452792, 0.000797999, 0.03187544, 495.473, 0.4334303, 0.3271707, 0.02785547
 
0.6199997, 0.0009139395, -0.0023693, 5, 0.008273155, 0.0010502169029633684662103772, 132462.2, -945.2551, -1.452792, 0.000797999, 0.03187544, 496.0147, 0.4334173, 0.3269339, 0.02787862
 
0.6299997, -0.0004941317, -0.002360161, 5, 0.008295033, 0.0010459827089552849836563730, 132691.3, -945.7825, -1.452792, 0.000797999, 0.03187544, 496.558, 0.433369, 0.3266972, 0.02790177
 
0.6399997, 0.000727324, -0.002365102, 5, 0.008317023, 0.0010415028134142883481160167, 132921.2, -946.3106, -1.452792, 0.000797999, 0.03187544, 497.1031, 0.4333207, 0.3264604, 0.02792492
 
0.6499997, -0.0001984775, -0.002357829, 5, 0.008338901, 0.0010369442320588257859042928, 133152, -946.8389, -1.452792, 0.000797999, 0.03187544, 497.6497, 0.4332723, 0.3262236, 0.02794807
 
0.6599997, 0.000434325, -0.002359814, 5, 0.008361042, 0.0010326459440577522415495213, 133383.6, -947.3676, -1.452792, 0.000797999, 0.03187544, 498.1979, 0.4332238, 0.3259869, 0.02797122
 
0.6699997, 2.809323E-05, -0.002355471, 5, 0.008382994, 0.0010281401348688881234596017, 133616, -947.8967, -1.452792, 0.000797999, 0.03187544, 498.7477, 0.4331752, 0.3257501, 0.02799437
 
0.6799996, 0.000267585, -0.00235519, 5, 0.008405133, 0.0010238476799475177396680898, 133849.3, -948.4262, -1.452792, 0.000797999, 0.03187544, 499.2992, 0.4331265, 0.3255134, 0.02801752
 
0.6899996, -5.111156E-05, -0.002352514, 5, 0.008427235, 0.0010198908172036703729757226, 134083.5, -948.9563, -1.452792, 0.000797999, 0.03187544, 499.8522, 0.4330778, 0.3252766, 0.02804067
 
0.6999996, 0.0001160961, -0.002353025, 5, 0.00844945, 0.0010161511096133255407861208, 134318.4, -949.4866, -1.452792, 0.000797999, 0.03187544, 500.4068, 0.4330289, 0.3250398, 0.02806382
 
0.7099996, -0.000112189, -0.002351864, 5, 0.008471551, 0.0010126611072058565223975101, 134554.2, -950.0176, -1.452792, 0.000797999, 0.03187544, 500.963, 0.43298, 0.3248031, 0.02808697
 
0.7199996, 0.0001615901, -0.002352986, 5, 0.008493918, 0.0010089501079513394927929119, 134790.9, -950.55, -1.452792, 0.000797999, 0.03187544, 501.5209, 0.4329312, 0.3245663, 0.02811012
 
