Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,76.500000,78.169998,76.470001,77.790001,77.104095,5938700
2022-12-09,77.769997,78.919998,77.300003,78.589996,77.897034,6370200
2022-12-12,79.099998,79.730003,78.769997,79.709999,79.007164,5997100
2022-12-13,80.760002,81.239998,79.820000,80.139999,79.433372,11389600
2022-12-14,79.739998,81.190002,78.110001,78.790001,78.095276,9302900
2022-12-15,77.680000,78.680000,77.150002,77.720001,77.034714,9887600
2022-12-16,77.139999,77.580002,75.769997,76.720001,76.043526,17064400
2022-12-19,76.709999,77.209999,76.290001,77.120003,76.440002,9357600
2022-12-20,76.500000,77.089996,76.459999,76.699997,76.699997,8063300
2022-12-21,77.339996,77.970001,76.910004,77.160004,77.160004,6804400
2022-12-22,76.680000,77.209999,75.790001,77.139999,77.139999,7458600
2022-12-23,76.949997,77.750000,76.459999,77.500000,77.500000,3856600
2022-12-27,77.510002,77.900002,76.500000,77.639999,77.639999,5336000
2022-12-28,78.050003,78.379997,76.239998,76.300003,76.300003,6053000
2022-12-29,76.570000,78.230003,76.269997,77.809998,77.809998,4931600
2022-12-30,77.559998,77.910004,76.860001,77.720001,77.720001,4991300
2023-01-03,77.970001,78.330002,77.379997,78.260002,78.260002,6544500
2023-01-04,79.139999,81.779999,78.800003,80.970001,80.970001,9769500
2023-01-05,80.879997,81.160004,80.000000,80.029999,80.029999,7048100
2023-01-06,80.489998,81.230003,79.349998,80.860001,80.860001,5994400
2023-01-09,80.750000,81.260002,77.470001,77.540001,77.540001,11108700
2023-01-10,77.870003,79.410004,77.750000,78.889999,78.889999,6494500
2023-01-11,79.459999,80.440002,78.139999,80.320000,80.320000,8366300
2023-01-12,80.580002,80.680000,78.889999,79.849998,79.849998,5738000
2023-01-13,79.169998,80.690002,78.910004,80.589996,80.589996,6024000
2023-01-17,80.580002,80.949997,79.379997,80.349998,80.349998,8383000
2023-01-18,80.269997,80.389999,78.660004,78.730003,78.730003,5792200
2023-01-19,78.379997,80.059998,77.870003,79.519997,79.519997,7831400
2023-01-20,80.050003,80.989998,79.339996,80.910004,80.910004,6806400
2023-01-23,81.019997,82.949997,80.750000,82.370003,82.370003,9491500
2023-01-24,81.730003,82.349998,80.500000,80.800003,80.800003,7180300
2023-01-25,80.349998,81.360001,80.110001,81.199997,81.199997,4200600
2023-01-26,81.739998,81.879997,81.019997,81.839996,81.839996,4162700
2023-01-27,82.180000,83.169998,80.809998,82.580002,82.580002,4858500
2023-01-30,82.760002,82.980003,82.220001,82.580002,82.580002,6559100
2023-01-31,82.750000,83.709999,82.580002,83.690002,83.690002,7396100
2023-02-01,84.000000,86.089996,83.599998,85.769997,85.769997,8395800
2023-02-02,85.800003,87.849998,85.709999,87.580002,87.580002,6940400
2023-02-03,86.699997,87.540001,86.500000,87.099998,87.099998,4949900
2023-02-06,86.830002,86.900002,85.220001,85.239998,85.239998,4731300
2023-02-07,85.500000,86.930000,85.099998,86.580002,86.580002,5129500
2023-02-08,86.500000,87.010002,86.000000,86.160004,86.160004,5454500
2023-02-09,86.059998,86.510002,83.400002,83.610001,83.610001,6188000
2023-02-10,83.480003,83.949997,82.800003,83.690002,83.690002,4544000
2023-02-13,83.680000,84.410004,83.559998,84.389999,84.389999,4279500
2023-02-14,84.099998,84.500000,82.889999,83.400002,83.400002,4527700
2023-02-15,82.839996,84.500000,82.510002,84.489998,84.489998,4584800
2023-02-16,83.769997,85.129997,83.680000,84.199997,84.199997,4784800
2023-02-17,84.199997,84.930000,83.379997,84.800003,84.800003,6825100
2023-02-21,84.230003,86.589996,84.230003,85.489998,85.489998,8135900
2023-02-22,86.220001,86.440002,84.730003,85.099998,85.099998,6083600
2023-02-23,84.809998,85.089996,83.430000,83.989998,83.989998,6695000
2023-02-24,83.349998,83.669998,82.349998,83.489998,83.489998,7401500
2023-02-27,83.629997,84.129997,83.250000,83.389999,83.389999,6379400
2023-02-28,83.320000,83.690002,82.769997,82.800003,82.800003,6657400
2023-03-01,82.400002,82.529999,81.669998,82.080002,82.080002,5249100
2023-03-02,81.489998,82.559998,81.199997,82.260002,82.260002,4985100
2023-03-03,82.790001,83.629997,82.440002,83.410004,83.410004,4771600
2023-03-06,83.489998,83.830002,81.449997,81.930000,81.930000,6845500
2023-03-07,82.089996,82.150002,79.510002,79.739998,79.739998,6876300
2023-03-08,79.529999,79.690002,78.040001,78.400002,78.400002,6810100
2023-03-09,78.790001,79.330002,77.980003,78.000000,78.000000,5634400
2023-03-10,77.870003,78.110001,76.150002,76.720001,76.720001,5901600
2023-03-13,76.220001,78.500000,76.019997,77.980003,77.980003,7576000
2023-03-14,79.019997,79.320000,77.029999,77.860001,77.860001,6808200
2023-03-15,77.129997,78.459999,76.800003,78.410004,78.410004,5367900
2023-03-16,77.660004,79.400002,77.570000,79.269997,79.269997,5774300
2023-03-17,79.070000,79.529999,77.879997,78.290001,78.290001,8838100
2023-03-20,78.750000,79.769997,78.510002,79.610001,79.610001,7224100
2023-03-21,79.959999,81.410004,79.949997,81.230003,81.230003,5829900
2023-03-22,81.449997,81.980003,79.919998,79.940002,79.940002,5537800
2023-03-23,79.500000,79.809998,77.300003,77.570000,77.570000,6711787
