"1/K","F(K)","G(K)","X1R(K)","X2R(K)","X1I(K)","X2I(K)"
1.114955,.809845187912534,-.179158276797773,1.36920235828018,1.03827949633008,1.14640143789072,1.14640143789072
1.116201,.80861670015071,-.179483045657234,1.36920103746538,1.03835296275737,1.14641691509684,1.14641691509684
1.117449,.807394897652078,-.17980026306025,1.36919971955832,1.03842668102798,1.14643245627409,1.14643245627409
1.118701,.806179744478314,-.180110051552913,1.36919840460499,1.03850065228272,1.146448061637,1.146448061637
1.119955,.804971204622264,-.180412531436777,1.36919709265178,1.03857487766877,1.14646373140095,1.14646373140095
1.121212,.803769242019942,-.180707820818665,1.36919578374556,1.03864935833975,1.14647946578208,1.14647946578208
1.122472,.802573820562035,-.180996035659096,1.36919447793365,1.03872409545575,1.1464952649974,1.1464952649974
1.123734,.801384904104931,-.181277289819374,1.36919317526381,1.03879909018337,1.14651112926469,1.14651112926469
1.125,.80020245648129,-.181551695107392,1.36919187578431,1.03887434369575,1.14652705880257,1.14652705880257
1.126268,.799026441510175,-.181819361322186,1.36919057954385,1.03894985717266,1.14654305383049,1.14654305383049
1.127539,.797856823006762,-.182080396297296,1.36918928659162,1.03902563180048,1.1465591145687,1.1465591145687
1.128813,.796693564791635,-.182334905942959,1.36918799697729,1.0391016687723,1.14657524123831,1.14657524123831
1.13009,.7955366306997,-.182582994287185,1.36918671075101,1.03917796928794,1.14659143406126,1.14659143406126
1.13137,.794385984588711,-.18282476351575,1.36918542796343,1.03925453455397,1.1466076932603,1.1466076932603
1.132653,.793241590347441,-.183060314011139,1.36918414866569,1.03933136578383,1.14662401905904,1.14662401905904
1.133938,.792103411903498,-.183289744390473,1.36918287290941,1.03940846419777,1.14664041168195,1.14664041168195
1.135227,.790971413230808,-.183513151542464,1.36918160074675,1.039485831023,1.14665687135432,1.14665687135432
1.136518,.789845558356773,-.183730630663409,1.36918033223034,1.03956346749366,1.14667339830231,1.14667339830231
1.137813,.788725811369117,-.18394227529228,1.36917906741335,1.03964137485092,1.14668999275292,1.14668999275292
1.13911,.787612136422433,-.184148177344913,1.36917780634947,1.03971955434299,1.14670665493401,1.14670665493401
1.140411,.786504497744439,-.184348427147339,1.36917654909289,1.03979800722517,1.14672338507432,1.14672338507432
1.141714,.785402859641957,-.184543113468287,1.36917529569835,1.03987673475993,1.14674018340343,1.14674018340343
1.14302,.784307186506627,-.184732323550869,1.36917404622113,1.03995573821692,1.14675705015182,1.14675705015182
1.14433,.783217442820354,-.184916143143489,1.36917280071704,1.04003501887304,1.1467739855508,1.1467739855508
1.145642,.782133593160519,-.185094656529988,1.36917155924242,1.0401145780125,1.1467909898326,1.1467909898326
1.146957,.781055602204941,-.185267946559055,1.36917032185419,1.04019441692681,1.1468080632303,1.1468080632303
1.148275,.779983434736611,-.185436094672925,1.36916908860981,1.04027453691493,1.14682520597788,1.14682520597788
1.149597,.778917055648207,-.185599180935381,1.36916785956732,1.04035493928321,1.14684241831019,1.14684241831019
1.150921,.777856429946393,-.185757284059083,1.36916663478529,1.04043562534552,1.14685970046301,1.14685970046301
1.152249,.77680152275591,-.185910481432248,1.3691654143229,1.04051659642327,1.14687705267295,1.14687705267295
1.153579,.775752299323475,-.186058849144698,1.3691641982399,1.04059785384547,1.14689447517759,1.14689447517759
1.154913,.77470872502148,-.186202462013284,1.36916298659662,1.04067939894877,1.14691196821536,1.14691196821536
1.15625,.773670765351516,-.186341393606723,1.36916177945398,1.0407612330775,1.14692953202561,1.14692953202561
1.157589,.772638385947714,-.186475716269849,1.3691605768735,1.04084335758378,1.14694716684862,1.14694716684862
